idusers;idevents;dateofregistration;ticetscount;status
101;1;10.10.2023;2;Запланировано
102;3;12.10.2023;1;Запланировано
103;2;03.10.2023;1;Посещено
104;5;15.10.2023;4;Запланировано
105;6;08.10.2023;2;Посещено
106;4;18.10.2023;1;Запланировано
107;7;11.10.2023;3;Запланировано
108;9;14.10.2023;1;Запланировано
109;12;20.10.2023;1;Запланировано
110;8;05.10.2023;2;Посещено
111;10;16.10.2023;2;Запланировано
112;11;09.10.2023;5;Запланировано
113;13;22.10.2023;1;Запланировано
114;14;07.10.2023;2;Посещено
115;15;19.10.2023;1;Запланировано
116;16;13.10.2023;2;Запланировано
117;17;17.10.2023;3;Запланировано
118;18;04.10.2023;1;Посещено
119;19;21.10.2023;1;Запланировано
120;20;06.10.2023;2;Посещено
121;21;23.10.2023;1;Запланировано
122;22;08.10.2023;4;Посещено
123;23;24.10.2023;2;Запланировано
124;24;10.10.2023;1;Запланировано
125;25;25.10.2023;1;Запланировано
126;26;12.10.2023;3;Запланировано
127;27;26.10.2023;2;Запланировано
128;28;11.10.2023;1;Запланировано
129;29;27.10.2023;2;Запланировано
130;30;13.10.2023;1;Запланировано
101;31;28.10.2023;2;Запланировано
102;32;14.10.2023;1;Посещено
103;33;29.10.2023;3;Запланировано
104;34;15.10.2023;2;Посещено
105;35;30.10.2023;1;Запланировано
106;36;16.10.2023;2;Запланировано
107;37;31.10.2023;1;Запланировано
108;38;17.10.2023;1;Запланировано
109;39;01.11.2023;4;Запланировано
110;40;18.10.2023;2;Запланировано
111;41;02.11.2023;1;Запланировано
112;42;19.10.2023;3;Запланировано
113;43;03.11.2023;1;Запланировано
114;44;20.10.2023;2;Посещено
115;45;04.11.2023;1;Запланировано
116;46;21.10.2023;2;Запланировано
117;47;05.11.2023;1;Запланировано
118;48;22.10.2023;3;Запланировано
119;49;06.11.2023;2;Запланировано
120;50;23.10.2023;1;Запланировано
