id;name;adres;count;tupe
1;Крокус Сити Холл;ул. Международная, д. 1;12000;Концертный зал
2;ГМИИ им. Пушкина;ул. Волхонка, 12;3000;Музей
3;Loft #1;ул. Нижняя Сыромятническая, 10;100;Коворкинг
4;Большой театр;Театральная пл., 1;2500;Театр
5;"Стадион ""Лужники""";Лужнецкая наб., 24;81000;Стадион
6;Парк Горького;ул. Крымский Вал, 9;5000;Парк
7;Музей космонавтики;пр-т Мира, 111;2000;Музей
8;Билингва;ул. Спиридоновка, 12;50;Библиотека
9;МХТ им. Чехова;Камергерский пер., 3;1200;Театр
10;Парк Коломенское;пр-т Андропова, 39;10000;Парк
11;"Спорткомплекс ""Олимпийский""";Олимпийский пр-т, 16;500;Спорткомплекс
12;Концертный зал Чайковского;ул. Тверская, 31;2000;Концертный зал
13;"Галерея ""На Солянке""";ул. Солянка, 1/2;300;Галерея
14;"Коворкинг ""Рабочая станция""";ул. Ленинская Слобода, 26;80;Коворкинг
15;Театр Наций;Петровский пер., 3;800;Театр
16;ЦДХ;ул. Крымский Вал, 10;4000;Выставочный зал
17;"Музей-усадьба ""Останкино""";1-я Останкинская ул., 5;150;Музей
18;Фотоцентр на Гоголевском;Гоголевский б-р, 8;200;Галерея
19;"Кулинарная студия ""Дом""";ул. Пятницкая, 18;25;Студия
20;Jazz Night Club;ул. Поварская, 12;150;Клуб
21;Манеж;Манежная пл., 1;5000;Выставочный зал
22;Актерская студия на Таганке;ул. Земляной Вал, 64;40;Студия
23;"Парк ""Сокольники""";ул. Сокольнический Вал, 1;8000;Парк
24;"Клуб ""Китайский летчик Джао Да""";Лубянский пр-д, 25;200;Клуб
25;Экспоцентр;Краснопресненская наб., 14;10000;Выставочный центр
26;"Дизайн-завод ""Флакон""";ул. Большая Новодмитровская, 36;500;Креативное пространство
27;"Поэтический клуб ""Классики 21 века""";ул. Покровка, 43;60;Клуб
28;Шахматный клуб;ул. Гоголевский б-р, 14;100;Клуб
29;Кафедральный собор;ул. Малая Грузинская, 27;800;Собор
30;Музей Востока;Никитский б-р, 12а;400;Музей
